Project,Slope,P-value,R²,Std.Dev,Trend
EventMesh,0.0169,0.7755,0.031,0.264,Fluctuating
Falcon,-0.0086,0.3333,0.75,0.009,Stable
Felix,0.0145,0.2543,0.556,0.028,Stable
Fineract,-0.0079,0.7476,0.014,0.202,Fluctuating
Flink,0.0012,0.5289,0.051,0.016,Stable
Flume,0.015,0.0228,0.606,0.043,Increasing
FOP,0.0016,0.001,0.76,0.004,Stable
Geode,0.0072,0.3701,0.116,0.073,Fluctuating
Giraph,0.0028,0.0812,0.487,0.008,Stable
Gobblin,-0.0037,0.0585,0.378,0.016,Stable
Hadoop,-0.0002,0.6162,0.033,0.004,Stable
HBase,-0.0061,0.0022,0.711,0.015,Decreasing
Helix,-0.0408,0.0079,0.607,0.112,Fluctuating
Hive,0.0088,0.001,0.763,0.016,Increasing
Hop,-0.0022,0.6227,0.066,0.019,Stable
HttpComponents-Client,0.0113,0.0013,0.744,0.025,Increasing
HttpComponents-Core,-0.016,0.0,0.9,0.019,Decreasing
Hudi,-0.0693,0.0397,0.476,0.208,Fluctuating
Iceberg,-0.0133,0.1125,0.425,0.045,Stable
Ignite,-0.0106,0.0032,0.682,0.024,Decreasing
Impala,0.0,nan,nan,0.0,Stable
InLong,-0.08,0.0429,0.682,0.132,Fluctuating
IoTDB,0.1789,0.0276,0.742,0.264,Fluctuating
Jackrabbit,-0.0086,0.6356,0.029,0.134,Fluctuating
JAMES,-0.0013,0.7896,0.009,0.041,Stable
Jena,0.015,0.0397,0.429,0.076,Increasing
Kerby,0.0,0.8095,-inf,0.0,Stable
Knox,-0.0,0.9834,-inf,0.0,Stable
Kylin,-0.025,0.3322,0.751,0.025,Stable
Lens,-0.0173,0.2059,0.631,0.025,Stable
Lingo,0.0009,0.0112,0.573,0.002,Stable
Linkis,-0.089,0.3166,0.324,0.257,Fluctuating
Log4j,0.0064,0.336,0.132,0.04,Fluctuating
Lucene-Core,-0.0083,0.5678,0.12,0.043,Fluctuating
ManifoldCF,0.0038,0.1156,0.28,0.02,Stable
Maven,0.0186,0.2096,0.293,0.113,Fluctuating
MyFaces,0.0624,0.0058,0.809,0.102,Fluctuating
NiFi,-0.0274,0.0,0.931,0.033,Decreasing
OFBiz,-0.0187,0.1987,0.224,0.109,Fluctuating
Oozie,-0.0098,0.6519,0.031,0.213,Fluctuating
ORC,0.0059,0.052,0.439,0.016,Stable
Ozone,-0.0038,0.4915,0.082,0.04,Stable
Parquet,-0.0,0.9985,-inf,0.0,Stable
PDFBox,0.0,0.9281,-inf,0.0,Stable
Phoenix,-0.0115,0.008,0.606,0.026,Decreasing
Pig,0.0,0.991,-inf,0.0,Stable
Pinot,-0.0142,0.0359,0.442,0.07,Decreasing
PLC4X,0.0195,0.164,0.295,0.095,Fluctuating
POI,-0.0,0.8438,-inf,0.0,Stable
Polygene,-0.0,0.9996,-inf,0.0,Stable
Pulsar,0.0156,0.0,0.926,0.019,Increasing
Qpid,0.0081,0.0,0.934,0.009,Increasing
Ranger,-0.0009,0.8912,0.002,0.05,Stable
Rat,0.15,0.1726,0.928,0.072,Fluctuating
REEF,0.0369,0.0418,0.686,0.065,Increasing
Shiro,-0.0333,0.0183,0.88,0.031,Decreasing
SkyWalking,0.0664,0.0007,0.824,0.115,Fluctuating
Solr,-0.0265,0.0003,0.821,0.04,Decreasing
Spark,0.0139,0.0003,0.827,0.02,Increasing
Sqoop,-0.0003,0.9904,0.0,0.134,Stable
SSHD,-0.0153,0.0001,0.858,0.023,Decreasing
Storm,0.0062,0.0832,0.329,0.034,Fluctuating
Struts,-0.0371,0.0001,0.88,0.059,Fluctuating
Submarine,-0.0827,0.3093,0.332,0.288,Fluctuating
Syncope,0.017,0.001,0.948,0.011,Increasing
Tez,0.0001,0.4744,0.066,0.002,Stable
Thrift,0.0,nan,nan,0.0,Stable
Tika,-0.0242,0.0253,0.485,0.079,Decreasing
TomEE,-0.0049,0.0216,0.503,0.018,Stable
TsFile,0.0,nan,nan,0.0,Stable
Turbine,0.0236,0.0,0.899,0.03,Increasing
UIMA,0.0,nan,nan,0.0,Stable
Wicket,-0.0065,0.0029,0.69,0.014,Decreasing
XML-Graphics-Commons,-0.0,0.9981,-164429.5,0.0,Stable
Yetus,-0.0,0.9996,-inf,0.0,Stable
Zeppelin,-0.0099,0.3503,0.109,0.101,Fluctuating
ZooKeeper,0.0073,0.0,0.909,0.01,Increasing
