project,start_date,end_date,project_cycle_days
Commons-Lang,2002-07-19,2025-11-03,8509
Commons-Logging,2001-08-02,2025-11-02,8859
Commons-Math,2003-05-12,2025-11-02,8211
Commons-Net,2002-04-03,2025-11-02,8615
Commons-Numbers,2017-01-04,2025-11-02,3225
Commons-OGNL,2011-05-05,2024-01-20,4644
Commons-Pool,2001-04-14,2025-11-01,8968
Commons-Proxy,2005-08-21,2025-11-02,7379
Commons-RDF,2014-06-06,2025-11-02,4168
Commons-RNG,2016-08-07,2025-11-02,3375
Commons-SCXML,2005-08-17,2025-11-02,7383
Commons-Statistics,2018-01-03,2025-11-02,2861
Commons-VFS,2002-07-16,2025-11-02,8511
Commons-Validator,2002-01-06,2025-11-04,8704
Commons-Weaver,2012-11-19,2025-11-02,4732
Compress-Ant-Library,2009-01-01,2019-05-27,3799
Cordova,2018-02-21,2025-10-30,2809
Curator,2011-07-14,2025-08-28,5160
Daffodil,2011-07-29,2025-10-31,5209
DataFu,2011-09-22,2025-05-20,4990
DeltaSpike,2011-12-22,2025-08-11,4982
Derby,2004-08-11,2019-08-18,5486
DirectMemory,2011-10-12,2015-08-02,1391
Directory,2006-01-13,2025-11-03,7235
Directory-Server,2004-01-31,2025-05-23,7784
Directory-Studio,2006-11-16,2025-08-11,6844
Doris,2017-08-11,2025-11-05,3009
Drill,2012-09-03,2025-10-24,4800
Dubbo,2011-10-20,2025-10-27,5122
Empire-db,2008-08-04,2025-10-23,6290
Etch,2008-07-29,2015-05-18,2485
FOP,1999-10-31,2025-11-03,9501
Felix,2005-07-19,2020-03-04,5343
Fluo,2013-06-19,2025-09-24,4481
Fluo-Recipes,2015-09-03,2025-02-13,3452
Fluo-YARN,2017-08-04,2024-12-24,2700
Forrest,2002-02-06,2018-07-30,6019
Fortress,2011-09-11,2025-08-15,5088
FreeMarker,2010-03-14,2025-06-22,5580
FtpServer,2003-03-31,2024-12-26,7942
Geronimo,2003-08-07,2013-03-21,3515
Gora,2010-10-08,2024-01-11,4844
Groovy,2003-08-28,2025-10-31,8101
Guacamole,2010-06-25,2025-11-04,5612
Hama,2008-06-19,2018-07-29,3693
Harmony,2005-09-29,2011-07-19,2120
Ivy,2005-06-16,2025-09-11,7393
IvyDE,2007-01-24,2023-11-26,6151
JAMES,2006-09-30,2025-11-03,6975
JDO,2005-03-18,2025-10-07,7509
JMeter,1998-09-03,2024-06-11,9414
Karaf,2007-11-26,2025-11-02,6552
Kerby,2014-02-22,2025-11-03,4273
Knox,2012-10-24,2025-10-29,4754
Lenya,2002-01-11,2011-09-26,3546
Lingo,2013-11-07,2025-06-04,4228
Log4j,2010-05-13,2025-10-31,5651
Lucene-Core,2001-09-11,2025-11-03,8820
MRUnit,2009-04-06,2016-05-12,2594
Mahout,2008-01-15,2025-11-05,6505
Marmotta,2013-01-03,2018-06-18,1993
Maven-Doxia,2005-11-01,2025-11-02,7307
MetaModel,2013-06-09,2021-06-23,2937
NetBeans,2017-09-11,2025-11-04,2977
Nutch,2005-01-23,2025-10-14,7570
ODE,2006-02-17,2020-01-14,5080
OFBiz,2006-07-01,2025-10-28,7060
Oltu-Parent,2010-01-27,2017-10-31,2835
OpenJPA,2006-05-02,2022-11-18,6045
OpenNLP,2010-12-02,2025-10-28,5445
OpenWebBeans,2008-11-22,2025-05-14,6018
PDFBox,2008-02-10,2025-11-04,6478
POI,2002-01-31,2025-11-03,8678
Parquet,2012-08-31,2025-11-03,4813
Pivot,2008-06-05,2019-08-14,4088
Polygene,2007-03-04,2019-02-14,4366
Portals,2003-09-30,2025-04-04,7858
Props-Ant-Library,2007-06-25,2020-08-14,4800
Qpid,2006-09-19,2025-10-10,6962
Rat,2008-03-11,2025-11-04,6448
SSHD,2008-12-04,2025-10-26,6171
Santuario,2001-09-28,2020-05-15,6805
ServiceMix,2011-06-29,2023-12-09,4547
Shindig,2007-12-11,2015-12-07,2919
Sling,2017-10-25,2025-08-06,2843
Spatial-Information-System,2010-03-20,2025-10-11,5685
Stanbol,2010-11-15,2018-12-01,2939
Stratos,2013-06-29,2017-02-17,1330
Synapse,2005-08-22,2025-10-08,7353
Tajo,2011-12-09,2020-05-11,3077
Tapestry,2007-04-24,2025-10-12,6747
Tentacles,2011-09-27,2025-11-03,5152
Thrift,2008-05-16,2025-10-30,6377
Tiles,2004-12-30,2018-09-07,5000
Tobago,2004-04-22,2025-11-04,7867
Tomcat,2006-03-27,2025-11-04,7163
Turbine,2001-08-16,2025-09-17,8799
UIMA,2006-11-02,2025-10-01,6909
Unomi,2014-04-23,2025-11-04,4214
VSS-Ant-Library,2010-09-01,2020-08-16,3638
VXQuery,2009-07-20,2018-07-01,3269
Velocity,2000-09-30,2025-07-18,9058
Velocity-Tools,2002-01-03,2024-12-28,8396
Vysper,2009-04-21,2023-11-28,5335
Whisker,2011-08-06,2025-11-04,5205
Wink,2009-06-08,2016-03-09,2467
Wookie,2007-10-14,2014-11-24,2599
XML-Graphics-Commons,2006-02-20,2025-09-25,7158
XMLBeans,2003-09-02,2025-09-24,8059
Xalan,1999-11-09,2019-05-24,7137
Xerces,1999-11-09,2019-04-06,7089
Yetus,2015-09-17,2025-07-12,3587
activemq,2005-12-12,2025-10-19,7252
ambari,2011-08-30,2025-09-12,5128
apex-core,2012-06-06,2021-04-09,3230
archiva,2005-11-23,2023-03-20,6327
aries,2009-09-29,2025-10-21,5867
avro,2009-04-09,2025-10-23,6042
beam,2014-12-13,2025-10-23,3968
bookkeeper,2011-03-30,2025-10-22,5321
cTAKES,2022-11-29,2025-09-25,1032
camel,2007-03-19,2025-10-23,6794
cassandra,2009-03-02,2025-09-16,6043
causeway,2004-07-30,2025-10-23,7756
cayenne,2007-01-21,2025-10-23,6851
cloudstack,2010-08-11,2025-10-23,5553
commons-compress,2003-11-23,2025-10-17,8000
commons-configuration,2003-12-23,2025-10-19,7972
commons-dbutils,2003-11-02,2025-10-19,8023
commons-io,2002-01-25,2025-10-23,8673
commons-text,2014-11-11,2025-10-19,3996
continuum,2005-04-11,2016-06-10,4079
creadur-rat,2008-03-11,2025-10-22,6435
crunch,2011-10-09,2021-02-02,3405
cxf,2008-04-23,2025-10-22,6392
datasketches,2015-06-29,2025-10-17,3764
directory-ldap-api,2006-01-13,2025-10-20,7221
druid,2012-10-23,2025-10-23,4749
eventmesh,2019-09-16,2025-05-09,2063
falcon,2011-11-24,2018-08-09,2451
fineract,2012-04-20,2025-10-22,4934
flink,2010-12-15,2025-10-23,5427
flume,2011-08-09,2024-10-10,4812
geode,2015-04-28,2025-10-21,3830
giraph,2011-08-06,2022-03-08,3868
gobblin,2014-02-04,2025-10-07,4264
hadoop,2009-05-19,2025-10-22,6001
hbase,2007-04-03,2025-10-22,6778
helix,2011-06-21,2025-10-08,5224
hive,2008-09-02,2025-10-23,6261
hop,2019-09-24,2025-10-23,2222
httpcomponents-client,2005-12-21,2025-10-21,7245
httpcomponents-core,2005-02-08,2025-10-20,7560
hudi,2016-12-16,2025-10-22,3233
iceberg,2017-12-13,2025-10-23,2872
ignite,2014-02-20,2025-10-23,4264
impala,2011-05-23,2025-10-17,5262
inlong,2019-09-11,2025-10-23,2235
iotdb,2017-05-07,2025-10-23,3092
jackrabbit,2004-09-13,2025-10-07,7695
james-project,2006-09-30,2025-10-15,6956
jclouds,2009-04-11,2025-04-28,5862
jena,2012-05-08,2025-10-22,4916
jspwiki,2007-10-06,2025-09-30,6570
kylin,2022-08-01,2025-10-20,1177
lens,2013-05-23,2019-11-05,2358
linkis,2019-07-23,2025-10-17,2279
logging-log4j2,2010-05-13,2025-10-22,5642
manifoldcf,2010-01-11,2025-09-30,5742
maven,2003-09-01,2025-10-21,8087
mina,2005-12-28,2023-10-05,6491
mina-sshd,2008-12-04,2025-10-18,6163
mina-vysper,2009-04-21,2023-11-28,5335
myfaces,2006-01-17,2025-10-13,7210
nifi,2014-12-08,2025-07-28,3886
ofbiz-framework,2006-07-01,2025-10-19,7051
olingo-odata4,2013-11-07,2025-06-04,4228
oodt,2010-05-03,2022-01-07,4268
oozie,2011-08-19,2025-01-27,4911
openmeetings,2015-12-13,2025-10-15,3595
orc,2015-05-07,2025-10-22,3822
ozone,2018-03-15,2025-10-23,2780
parquet-mr,2012-08-31,2025-10-22,4801
phoenix,2014-01-27,2025-10-20,4285
pig,2007-10-29,2025-09-15,6532
pinot,2014-10-31,2025-10-22,4010
plc4x,2017-10-16,2025-10-23,2930
pulsar,2016-09-06,2025-10-22,3334
qpid-broker-j,2006-09-19,2025-10-10,6962
ranger,2014-08-14,2025-10-16,4082
reef,2012-08-01,2021-05-26,3221
roller,2005-06-07,2025-06-29,7328
seatunnel,2017-08-05,2025-10-23,3002
shiro,2005-07-14,2025-10-22,7406
skywalking,2015-11-07,2025-10-23,3639
solr,2001-09-11,2025-10-22,8808
spark,2010-03-29,2025-10-23,5688
sqoop,2011-06-14,2021-03-16,3564
storm,2011-09-15,2025-10-13,5143
struts,2006-02-22,2025-10-19,7180
submarine,2019-09-19,2024-04-02,1658
syncope,2010-04-29,2025-10-23,5657
tez,2013-03-15,2025-10-15,4598
tika,2007-03-31,2025-10-23,6782
tomee,2006-01-02,2025-10-16,7228
tsfile,2018-11-19,2025-10-22,2530
turbine-core,2001-08-16,2025-09-17,8799
whirr,2010-06-01,2015-04-23,1788
wicket,2004-09-21,2025-10-19,7699
ws-axiom,2006-02-01,2025-10-23,7205
xmlgraphics-commons,2006-02-20,2025-09-25,7158
xmlgraphics-fop,1999-10-31,2025-10-22,9489
zeppelin,2013-06-18,2025-10-19,4507
zookeeper,2008-05-19,2025-10-07,6351
